Date,Year,Cnt_Mth,Title,Incident_Area,Location,Open/Close_Location,Target,Cause,Summary,Fatalities,Injured,Total_victims,Age,Employeed_(Y/N),Employed_at,Mental_Health_Issues,Race,Gender,Latitude,Longitude
7/24/2008,2008,9,South Mountain Community College,University,"Phoenix, Arizona",Close,random,anger,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",0,3,3,24,0,,No,Black,Male,33.57145875,-112.0904854
10/26/2008,2008,10,University of Central Arkansas,University,"Conway, Arkansas",Close,Students,terrorism,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",0,1,3,19,0,,No,Black,Male,35.08130744,-92.43278275
12/24/2008,2008,8,"Covina, California",Home,"Covina, California",Close,Family,psycho,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",10,2,11,45,0,,No,White,Male,34.09026669,-117.8819958
3/10/2009,2009,28,"Geneva County, Alabama",Home,"Geneva, Alabama",Open+Close,random,psycho,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",11,6,16,28,0,,No,White,Male,31.04367594,-85.8763466
3/29/2009,2009,27,Carthage nursing home shooting,Hospital/Clinic/Nursing Home,"Carthage, North Carolina",Close,Ex-Wife,psycho,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,45,0,,Yes,White,Male,35.345802,-79.4170543
3/29/2009,2009,26,"Rivermark, Santa Clara, California",Home,"Santa Clara, California",Close,Family,psycho,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",6,1,6,42,1,Yahoo,No,Asian,Male,37.36463172,-121.9679315
4/3/2009,2009,27,Binghamton shootings,Workplace,"Binghamton, New York",Close,random,terrorism,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,41,0,,Yes,Asian,Male,42.0986867,-75.9179738
11/5/2009,2009,11,Fort Hood Army Base,Army/Navy/Airforce Base,"Fort Hood, Texas",Close,random,terrorism,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.",13,32,45,39,1,U.S Army,Yes,White,Male,31.13814354,-97.77797804
11/29/2009,2009,10,Coffee shop police killings,Restaurant,"Parkland, Washington",Close,Policeman,revenge,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,37,0,,Yes,Black,Male,47.155846,-122.437031
2/12/2010,2010,37,University of Alabama in Huntsville,University,"Huntsville, Alabama",Close,Coworkers,psycho,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.",0,3,6,44,1,University of Alabama,No,White,Female,34.72827538,-86.6723055
8/3/2010,2010,10,Hartford Beer Distributor shooting,Workplace,"Manchester, Connecticut",Close,Unknown,frustration,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,34,0,,No,Black,Male,41.7759324,-72.5214755
1/8/2011,2011,20,"Tucson, Arizona",Parking Lot,"Tucson, Arizona",Open,Congresswoman,terrorism,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,22,0,,Yes,White,Male,32.2217429,-110.926479
2/6/2011,2011,36,Youngstown State University,University,"Youngstown, Ohio",Close,random,anger,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.",1,11,12,"19,22",0,,Unknown,Black,Male,41.09933958,-80.64631705
4/6/2011,2011,26,Southern Union State Community College,University,"Opelika, Alabama",Open,Ex-Wife & Family,anger,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.",1,3,4,34,0,,Yes,White,Male,32.66240106,-85.37706931
7/7/2011,2011,8,Residences in Grand Rapids,Home,"Grand Rapids, Michigan",Open+Close,Ex-Wife & Family,psycho,"On July 7, 2011, a 34-year old man went to two homes on a shooting rampage, killing his estranged wife, their daughter, his former girlfriend, and members of the victims' families. The shooter kept shooting at random as he fled by car and followed and shot another ex-girlfriend while she was driving on her car. The gunman was chased by police that forced him to exit his vehicle and ran on foot, entering a random residence where he took three hostages. He ended releasing the hostages and committing suicide.",8,2,9,34,0,,Yes,Black,Male,42.96920434,-85.66008902
9/6/2011,2011,8,IHOP shooting,Restaurant,"Carson City, Nevada",Close,random,terrorism,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,32,0,,Yes,Latino,Male,39.1637984,-119.7674034
